* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C460 2025020817    970.5      5.3       83      0.8    105.0      4.0     68.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C460 2025020818    971.1      5.1       83      0.5    103.0      3.5    110.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C460 2025020819    971.1      5.6       78      1.4    109.0      4.6    115.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C460 2025020820    971.1      5.7       78      0.8    110.0      3.9    115.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020821    971.0      6.2       76      1.0    107.0      4.4    110.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020822    970.9      6.5       76      1.0    102.0      5.2     33.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C460 2025020823    970.4      6.7       74      1.0    108.0      3.7    115.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C460 2025020824    970.2      6.8       76      0.5    100.0      2.6    110.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C460 2025020901    970.2      6.9       77      0.8     99.0      3.5     63.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020902    970.4      6.8       78      0.6     96.0      3.7     50.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020903    970.5      7.2       75      0.5    101.0      3.6     54.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C460 2025020904    970.4      7.3       76      0.5    106.0      3.3     36.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020905    970.4      7.6       75      1.1    109.0      3.9    116.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C460 2025020906    971.0      7.6       78      0.6     93.0      3.9    116.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C460 2025020907    971.1      7.6       78      0.6    114.0      3.1    118.0      0.0     None     None     None     None     None     None     None     None     1500     None
C0C460 2025020908    971.3      8.3       77      0.0      0.0      2.7     64.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C460 2025020909    971.1     10.0       71      0.0      0.0      2.7     62.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020910    970.5     10.9       70      0.4     71.0      3.3     50.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020911    969.7     11.4       69      0.7     73.0      4.2     48.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020912    969.0     10.9       72      1.1     69.0      5.1     52.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C460 2025020913    968.2     10.6       72      0.8    101.0      4.1     20.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025020914    967.0     11.4       70      0.8     83.0      3.9     50.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020915    965.8     11.7       69      0.9     95.0      5.5     27.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020916    966.0     10.6       74      1.0     87.0      4.6     91.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C460 2025020917    967.1      9.6       78      0.8     92.0      4.3    124.0      0.0     None     None     None     None     None     None     None     None     2600     None
C0C460 2025020918    967.8      8.6       81      1.1    106.0      2.9    110.0      0.0     None     None     None     None     None     None     None     None     0900     None
C0C460 2025020919    968.1      8.4       81      1.2    106.0      2.8    113.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020920    968.0      9.4       71      0.6    106.0      3.0    113.0      0.0     None     None     None     None     None     None     None     None     5100     None
C0C460 2025020921    968.2     10.4       67      1.1    114.0      3.9    118.0      0.0     None     None     None     None     None     None     None     None     1300     None
C0C460 2025020922    968.5     10.3       69      1.1    114.0      3.1    122.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C460 2025020923    968.6     10.3       70      1.0    113.0      2.5    116.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025020924    968.5     10.3       71      0.6    112.0      2.5    116.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C460 2025021001    968.7      9.7       73      0.5    114.0      1.9    111.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C460 2025021002    968.2     10.7       69      0.9    113.0      2.9    114.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C460 2025021003    967.8     10.6       69      1.4    113.0      3.7    117.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C460 2025021004    967.5     10.3       70      1.4    113.0      3.6    116.0      0.0     None     None     None     None     None     None     None     None     3000     None
C0C460 2025021005    967.7     10.6       68      1.5    113.0      3.6    116.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C460 2025021006    968.3     10.5       69      1.7    115.0      3.4    116.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025021007    968.9     10.8       68      1.6    113.0      3.4    113.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025021008    969.2     11.4       66      1.5    114.0      3.7    117.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C460 2025021009    969.2     13.1       63      1.1    115.0      3.4    118.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C460 2025021010    968.6     15.9       58      0.8    115.0      2.7    115.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C460 2025021011    967.9     17.9       56      0.0      0.0      3.3    357.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025021012    967.6     18.7       52      0.7    311.0      4.3     35.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C460 2025021013    966.7     16.9       60      0.7    285.0      3.5    281.0      0.0     None     None     None     None     None     None     None     None     2200     None
C0C460 2025021014    966.0     16.7       61      0.3     16.0      2.1     11.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C460 2025021015    965.4     17.4       61      0.0      0.0      2.0    329.0      0.0     None     None     None     None     None     None     None     None     0600     None
C0C460 2025021016    965.3     16.3       66      0.3     33.0      2.0    353.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C460 2025021017    965.7     15.2       67      0.0      0.0      1.8     53.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C460 2025021018    966.0     14.7       67      0.9    114.0      2.4    113.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C460 2025021019    966.4     14.5       66      0.6    116.0      2.0    116.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025021020    966.9     14.1       67      1.2    114.0      2.5    112.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C460 2025021021    967.0     14.0       66      1.3    115.0      3.0    115.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C460 2025021022    967.2     14.0       65      1.1    112.0      3.1    116.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025021023    967.2     14.0       64      1.5    112.0      3.9    113.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C460 2025021024    967.2     14.0       63      1.4    114.0      4.1    109.0      0.0     None     None     None     None     None     None     None     None     3900     None
C0C460 2025021101    967.1     13.5       66      2.6    113.0      4.9    118.0      0.0     None     None     None     None     None     None     None     None     4000     None
C0C460 2025021102    966.7     13.3       67      2.3    116.0      4.6    115.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C460 2025021103    966.4     13.0       68      2.6    114.0      4.9    117.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C460 2025021104    966.2     12.9       69      2.5    116.0      4.9    115.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C460 2025021105    966.2     12.8       70      3.0    114.0      5.3    115.0      0.0     None     None     None     None     None     None     None     None     2500     None
C0C460 2025021106    966.4     12.7       70      2.2    115.0      5.3    113.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C460 2025021107    966.6     12.9       69      2.8    115.0      5.0    113.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C460 2025021108    966.9     13.8       66      2.5    114.0      4.7    119.0      0.0     None     None     None     None     None     None     None     None     1700     None
C0C460 2025021109    966.9     15.7       61      2.4    115.0      4.6    113.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025021110    967.0     18.3       54      1.6    113.0      3.8    116.0      0.0     None     None     None     None     None     None     None     None     0300     None
